City,Temperature (F),Humidity %,Cloudiness %,Wind Speed (mph),Latitude,Longitude,Country
kalispell,60.94,20,1,10.29,48.2,-114.31,US
twentynine palms,55.29,44,75,4.05,34.14,-116.05,US
ngaoundere,68.16,58,96,4.56,7.32,13.58,CM
nichinan,49.19,71,20,5.82,31.6,131.37,JP
faya,63.5,63,6,4.7,18.39,42.45,SA
dzhankoy,47.03,68,0,6.53,45.72,34.4,UA
san martin,66.81,38,0,9.86,-33.08,-68.47,AR
bella vista,62.42,29,1,12.75,36.43,-94.23,US
sungairaya,78.76,88,65,3.85,0.7,108.9,ID
chimore,73.71,64,79,1.5,-16.98,-65.13,BO
almaznyy,44.6,39,3,6.71,48.04,40.05,RU
kampil,73.74,25,57,4.56,27.62,79.28,IN
rocha,56.3,87,7,5.77,-34.48,-54.33,UY
ipaba,71.02,87,47,2.01,-19.41,-42.42,BR
mantua,52.77,53,0,5.82,45.17,10.78,IT
mandera,88.0,13,2,4.0,3.94,41.87,KE
lincoln,48.54,23,1,25.28,40.8,-96.67,US
rochester,44.55,33,75,18.34,43.15,-77.62,US
